codigo P;nombre P;cantidad;precio;bod;cant_real;
7702080520036;GUAYO TRAIN ELEMT TERRA USA10K EUR27,5;1;67300;TFG  ;1;
7702080520432;GUAYO TRAIN ELEMT TERRA USA13K EUR31;1;67300;TFG  ;1;
7702080521538;GUAYO TRAIN ELEMT AQUA USA13K EUR31;1;67300;TFG  ;1;
7702080522238;GUAYO TRAIN ELEMT VOLCANO USA10K EUR27,5;2;67300;TFG  ;2;
7702080523334;GUAYO TRAIN ELEMT TORNADO USA10K EUR27,5;1;67300;TFG  ;1;
7702080523730;GUAYO TRAIN ELEMT TORNADO USA13K EUR31;1;67300;TFG  ;1;
7702080524430;GUAYO TRAIN ELEMT METALLIC USA10K EUR27,5;1;67300;TFG  ;1;
7702080524836;GUAYO TRAIN ELEMT METALLIC USA13K EUR31;1;67300;TFG  ;1;
7702080526038;ZAP TORR TRAIN ELEMT TERRA USA4 1/2 EUR36,7;1;66500;TFG  ;1;
7702080526236;ZAP TORR TRAIN ELEMT AQUA USA13 1/2K EUR31,5;1;66500;TFG  ;1;
7702080527639;ZAP TORR TRAIN ELEMT TORNADO US13 1/2K EU31,5;1;66500;TFG  ;1;
7702080527837;ZAP TORR TRAIN ELEMT TORNADO US2 EU33,5;1;66500;TFG  ;1;
7702080528032;ZAP TORR TRAIN ELEMT TORNADO US4 EU36;1;66500;TFG  ;1;
7702080528339;ZAP TORR TRAIN ELEMT METALLIC US13 1/2K EU31,5;2;66500;TFG  ;2;
7702080528537;ZAP TORR TRAIN ELEMT METALLIC USA2 EU33,5;1;66500;TFG  ;1;
7702080528636;ZAP TORR TRAIN ELEMT METALLIC USA3 EU35;1;66500;TFG  ;1;
7702080528933;ZAP TORR TRAIN ELEMT METALLIC USA5 EUR37,3;1;66500;TFG  ;1;
7702080540034;GUAYO LETHAL PRO LIMON / AGUAMARINA 9;8;71500;TFG  ;8;
7702080540072;GUAYO COMP GOLTY DUAL II CAU VER/NEG 11 1/2;1;71500;TFG  ;1;
7702080540096;GUAYO FX VERDE LIMON / AZUL 9  (39.5) TPU;6;71500;TFG  ;6;
7702080540133;GUAYO LETHAL PRO LIMON / AGUAMARINA 9 1/2;2;71500;TFG  ;2;
7702080540171;GUAYO COMP GOLTY DUAL II CAU AMAR/NEG 7 1/2;1;67300;TFG  ;1;
7702080540195;GUAYO FX VERDE LIMON / AZUL 9 1/2 (40.5) TPU;1;71500;TFG  ;1;
7702080540232;GUAYO LETHAL PRO LIMON / AGUAMARINA 10;2;71500;TFG  ;2;
7702080540294;GUAYO FX VERDE LIMON / AZUL 10  (41.5) TPU;4;71500;TFG  ;4;
7702080540331;GUAYO LETHAL PRO LIMON / AGUAMARINA 11;2;71500;TFG  ;2;
7702080540393;GUAYO FX VERDE LIMON / AZUL 11  (42.5) TPU;4;71500;TFG  ;4;
7702080540430;GUAYO LETHAL PRO LIMON / AGUAMARINA 11 ½;1;71500;TFG  ;1;
7702080540492;GUAYO FX VERDE LIMON / AZUL 11 1/2 (43.5) TPU;2;71500;TFG  ;2;
7702080540515;GUAYO SUPERNOVA AZUL/VERDE 42           ;1;74500;TFG  ;1;
7702080540539;GUAYO LETHAL PRO VERDE/AZUL/NEGRO 7 1/2;2;71500;TFG  ;2;
7702080540638;GUAYO LETHAL PRO VERDE/AZUL/NEGRO 8;1;71500;TFG  ;0;
7702080540690;GUAYO FX AZUL CELESTE / GRIS 8  (38.5) TPU;1;71500;TFG  ;1;
7702080540737;GUAYO LETHAL PRO VERDE/AZUL/NEGRO 9;1;71500;TFG  ;1;
7702080540799;GUAYO FX AZUL CELESTE / GRIS 9  (39.5) TPU;6;71500;TFG  ;6;
7702080540812;GUAYO SUPERNOVA NEGRO/ROJO 38           ;1;74500;TFG  ;1;
7702080540836;GUAYO LETHAL PRO VERDE/AZUL/NEGRO 9 1/2;1;71500;TFG  ;1;
7702080540935;GUAYO LETHAL PRO VERDE/AZUL/NEGRO 10;3;71500;TFG  ;3;
7702080540959;GUAYO TRAIN GOLTY NEON VERDE/NAR 2;4;73000;TFG  ;4;
7702080540997;GUAYO FX AZUL CELESTE / GRIS 10  (41.5) TPU;2;71500;TFG  ;2;
7702080541031;GUAYO LETHAL PRO VERDE/AZUL/NEGRO 11;1;71500;TFG  ;1;
7702080541055;GUAYO TRAIN GOLTY NEON VERDE/NAR 2 1/2;1;73000;TFG  ;1;
7702080541130;GUAYO LETHAL PRO VERDE/AZUL/NEGRO 11 1/2;1;71500;TFG  ;1;
7702080541192;GUAYO FX AZUL CELESTE / GRIS 11 1/2 (43.5) TPU;2;71500;TFG  ;2;
7702080541253;GUAYO TRAIN GOLTY NEON VERDE/NAR 4 1/2;1;73000;TFG  ;1;
7702080541307;ZAPAT TORR FX VIOLETA / MAGENTA 8  (38.5) 2a;1;71500;TFG  ;1;
7702080541376;GUAYO COMP GOLTY DUAL II CAU AZUL/AZUL CELSTE 11 (42.5);1;67300;TFG  ;1;
7702080541451;ZAP. TORR TRAIN GOLTY NEON NAR/VERDE 13K;3;78000;TFG  ;3;
7702080541499;ZAPAT TORR FX VIOLETA / MAGENTA 9  (39.5);1;71500;TFG  ;1;
7702080541505;ZAP TORR FX VIOLETA / MAGENTA 9 1/2 (40.5) 2a;1;71500;TFG  ;1;
7702080541550;GUAYO COMP GOLTY DUAL II CAU VER/NEG 7 1/2;1;67300;TFG  ;1;
7702080541598;ZAPAT TORR FX VIOLETA / MAGENTA 9 1/2 (40.5);1;71500;TFG  ;1;
7702080541697;ZAPAT TORR FX VIOLETA / MAGENTA 10  (41.5);2;71500;TFG  ;2;
7702080541796;ZAPAT TORR FX VIOLETA / MAGENTA 11  (42.5);4;71500;TFG  ;4;
7702080541895;ZAPAT TORR FX VIOLETA / MAGENTA 11 1/2 (43.5);1;71500;TFG  ;1;
7702080541932;GUAYO LETHAL PRO NARANJA / VERDE/NEGRO 7 1/2;5;71500;TFG  ;5;
7702080541994;ZAPAT TORR FX GRIS / NARANJA 7 1/2 (37.5);2;71500;TFG  ;2;
7702080542076;GUAYO TRAIN GOLTY NEON NAR/VERDE 13K;1;73000;TFG  ;1;
7702080542137;GUAYO LETHAL PRO NARANJA / VERDE/NEGRO 9;2;71500;TFG  ;2;
7702080542175;GUAYO TRAIN GOLTY NEON NAR/VERDE 1;3;73000;TFG  ;3;
7702080542236;GUAYO LETHAL PRO NARANJA / VERDE/NEGRO 9 1/2;1;71500;TFG  ;1;
7702080542274;GUAYO TRAIN GOLTY NEON NAR/VERDE 2;3;73000;TFG  ;3;
7702080542298;ZAPAT TORR FX GRIS / NARANJA 9 1/2 (40.5);2;71500;TFG  ;2;
7702080542335;GUAYO LETHAL PRO NARANJA / VERDE/NEGRO 10;1;71500;TFG  ;1;
7702080542359;GUAYO KONTROLLE VERDE LIMON/AZUL 9 (39.5);1;67300;TFG  ;1;
7702080542397;ZAPAT TORR FX GRIS / NARANJA 10  (41.5);1;71500;TFG  ;1;
7702080542403;ZAPAT TORR FX GRIS / NARANJA 11  (42.5) 2a;1;71500;TFG  ;1;
7702080542458;GUAYO KONTROLLE VERDE LIM/AZUL 9 1/2 (40.5);2;67300;TFG  ;2;
7702080542496;ZAPAT TORR FX GRIS / NARANJA 11  (42.5);1;71500;TFG  ;1;
7702080542557;GUAYO KONTROLLE VERDE LIM/AZUL 10 (41.5);1;67300;TFG  ;1;
7702080542595;ZAPAT TORR FX GRIS / NARANJA 11 1/2 (43.5);1;71500;TFG  ;1;
7702080542656;GUAYO KONTROLLE  VERDE LIMON/AZUL 11 (42.5);1;67300;TFG  ;1;
7702080542694;ZAPAT TORR FX VERDE LIMON / AZUL 7 1/2 (37.5);1;71500;TFG  ;1;
7702080542854;GUAYO KONTROLLE GRIS/NEGRO 7 1/2 (37.5);1;67300;TFG  ;1;
7702080542892;ZAPAT TORR FX VERDE LIMON / AZUL 9  (39.5);1;71500;TFG  ;1;
7702080542953;GUAYO KONTROLLE GRIS/NEGRO 8 (38.5);2;67300;TFG  ;2;
7702080542991;ZAPAT TORR FX VERDE LIMON / AZUL 9 1/2 (40.5);1;71500;TFG  ;1;
7702080543035;ZAP. TURF LETHAL PRO LIMON / AGUAMARINA 10;1;71500;TFG  ;1;
7702080543059;GUAYO KONTROLLE GRIS/NEGRO 9 (39.5);1;67300;TFG  ;1;
7702080543097;ZAPAT TORR FX VERDE LIMON / AZUL 10  (41.5);1;71500;TFG  ;1;
7702080543134;ZAP. TURF LETHAL PRO LIMON / AGUAMARINA 11;4;71500;TFG  ;4;
7702080543158;GUAYO KONTROLLE GRIS/NEGRO 9 1/2 (40.5);1;67300;TFG  ;1;
7702080543196;ZAPAT TORR FX VERDE LIMON / AZUL 11  (42.5);1;71500;TFG  ;1;
7702080543233;ZAP. TURF LETHAL PRO LIMON / AGUAMARINA 11 ½;4;71500;TFG  ;4;
7702080543257;GUAYO KONTROLLE GRIS/NEGRO 10 (41.5);1;67300;TFG  ;1;
7702080543271;GUAYO TRAIN GOLTY NEON VERDE/MORADO 4 1/2;1;73000;TFG  ;1;
7702080543295;ZAPAT TORR FX VERDE LIMON / AZUL 11 1/2 (43.5);1;71500;TFG  ;1;
7702080543356;GUAYO KONTROLLE GRIS/NEGRO 11 (42.5);1;67300;TFG  ;1;
7702080543455;GUAYO KONTROLLE GRIS/NEGRO 11 1/2 (43.5);1;67300;TFG  ;1;
7702080543578;GUAYO TRAIN GOLTY NEON AMAR/AZUL 1;3;73000;TFG  ;3;
7702080543653;GUAYO KONTROLLE NARANJA/VERDE LIMON 8 (38.5);1;67300;TFG  ;1;
7702080543677;GUAYO TRAIN GOLTY NEON AMAR/AZUL 2;6;73000;TFG  ;6;
7702080543752;GUAYO KONTROLLE NARANJA/VERDE LIM 9 (39.5);1;67300;TFG  ;1;
7702080543837;ZAP, TURF  LETHAL PRO VERDE/AZUL/NEGRO 11;1;71500;TFG  ;1;
7702080543851;GUAYO KONTROLLE NAR/VERDE LIM 9 1/2 (40.5);1;67300;TFG  ;1;
7702080543899;ZAPAT TORR FX AZUL CELESTE / GRIS 11  (42.5);1;71500;TFG  ;1;
7702080543974;GUAYO TRAIN GOLTY NEON AMAR/AZUL 4 1/2;1;73000;TFG  ;1;
7702080544001;ZAPAT LISA FX VIOLETA / MAGENTA 7 1/2 (37.5) 2a;1;71500;TFG  ;1;
7702080544100;ZAPAT LISA FX VIOLETA / MAGENTA 8  (38.5) 2a;1;71500;TFG  ;1;
7702080544209;ZAPAT LISA FX VIOLETA / MAGENTA 9  (39.5) 2a;1;71500;TFG  ;1;
7702080544599;ZAPAT LISA FX VIOLETA / MAGENTA 11  (42.5);1;71500;TFG  ;1;
7702080544902;ZAPAT LISA FX GRIS / NARANJA 9  (39.5) 2a;1;71500;TFG  ;1;
7702080544995;ZAPAT LISA FX GRIS / NARANJA 9  (39.5);1;71500;TFG  ;1;
7702080545091;ZAPAT LISA FX GRIS / NARANJA 9 1/2 (40.5);1;71500;TFG  ;1;
7702080545190;ZAPAT LISA FX GRIS / NARANJA 10  (41.5);1;71500;TFG  ;1;
7702080545206;GUAYO COMP GOLTY DUAL II CAU NEG/BLA 11;1;67300;TFG  ;1;
7702080545336;ZAP. TURF  LETHAL PRO NARANJA/VERDE/NEGRO 11 1/2;2;71500;TFG  ;2;
7702080545398;ZAPAT LISA FX GRIS / NARANJA 11 1/2 (43.5);1;71500;TFG  ;1;
7702080545404;GUAYO COMP GOLTY DUAL II TPU VER/NEG 8;1;67300;TFG  ;1;
7702080545695;ZAPAT LISA FX VERDE LIMON / AZUL 9  (39.5);1;71500;TFG  ;1;
7702080545732;ZAP. LISA LETHAL PRO LIMON / AGUAMARINA 9 ½;3;71500;TFG  ;3;
7702080545794;ZAPAT LISA FX VERDE LIMON / AZUL 9 1/2 (40.5);2;71500;TFG  ;2;
7702080545831;ZAP. LISA LETHAL PRO LIMON / AGUAMARINA 10;4;71500;TFG  ;4;
7702080545893;ZAPAT LISA FX VERDE LIMON / AZUL 10  (41.5);3;71500;TFG  ;3;
7702080545992;ZAPAT LISA FX VERDE LIMON / AZUL 11  (42.5);1;71500;TFG  ;1;
7702080546005;ZAPAT LISA FX VERDE LIMON / AZUL 11 1/2 (43.5) 2a;1;71500;TFG  ;1;
7702080546098;ZAPAT LISA FX VERDE LIMON / AZUL 11 1/2 (43.5);3;71500;TFG  ;3;
7702080546104;GUAYO COMP GOLTY DUAL II TPU VER/NGR 9 1/2 (40.5);3;67300;TFG  ;3;
7702080546203;GUAYO COMP GOLTY DUAL II TPU VER/NEG 10;2;67300;TFG  ;2;
7702080546593;ZAPAT LISA FX AZUL CELESTE / GRIS 10  (41.5);1;71500;TFG  ;1;
7702080546739;ZAP LISA  LETHAL PRO VERDE/AZUL/NEGRO 11 1/2;1;71500;TFG  ;1;
7702080546791;ZAPAT LISA FX AZUL CELESTE / GRIS 11 1/2 (43.5);2;71500;TFG  ;2;
7702080547606;GUAYO COMP GOLTY DUAL II TPU AMAR/NEG 10;1;67300;TFG  ;1;
7702080547705;GUAYO COMP GOLTY DUAL II TPU AMAR/NGR 11 (42.5);1;67300;TFG  ;1;
7702080547873;ZAPAT LISA KONTROLLE NEGRO/ NARANJA  8 (38.5);2;67300;TFG  ;2;
7702080548405;GUAYO COMP GOLTY DUAL II TPU AZUL/AZUL CELS 10;2;67300;TFG  ;2;
7702080548474;GUAYO FX VIOLETA / MAGENTA 7 1/2 (37.5) TPU;2;71500;TFG  ;2;
7702080548573;GUAYO FX VIOLETA / MAGENTA 8  (38.5) TPU;2;71500;TFG  ;2;
7702080548672;GUAYO FX VIOLETA / MAGENTA 9  (39.5) TPU;2;71500;TFG  ;2;
7702080548771;GUAYO FX VIOLETA / MAGENTA 9 1/2 (40.5) TPU;1;71500;TFG  ;1;
7702080548832;GUAYO GAMERS AZUL / NEGRO  2;3;65600;TFG  ;3;
7702080548870;GUAYO FX VIOLETA / MAGENTA 10  (41.5) TPU;1;71500;TFG  ;1;
7702080548979;GUAYO FX VIOLETA / MAGENTA 11  (42.5) TPU;1;71500;TFG  ;1;
7702080549006;GUAYO COMP GOLTY DUAL II TPU NEG/BLA 8;2;67300;TFG  ;2;
7702080549075;GUAYO FX VIOLETA / MAGENTA 11 1/2 (43.5) TPU;1;71500;TFG  ;1;
7702080549174;GUAYO FX GRIS / NARANJA 7 1/2 (37.5) TPU;3;71500;TFG  ;3;
7702080549204;GUAYO COMP GOLTY DUAL II TPU NEG/BLA 9 1/2;2;67300;TFG  ;2;
7702080549273;GUAYO FX GRIS / NARANJA 8  (38.5) TPU;6;71500;TFG  ;6;
7702080549303;GUAYO COMP GOLTY DUAL II TPU NEG/BLA 10;1;67300;TFG  ;1;
7702080549372;GUAYO FX GRIS / NARANJA 9  (39.5) TPU;2;71500;TFG  ;2;
7702080549432;GUAYO GAMERS ROJO / AZUL / NEGRO  2;2;65600;TFG  ;2;
7702080549471;GUAYO FX GRIS / NARANJA 9 1/2 (40.5) TPU;1;71500;TFG  ;0;
7702080549679;GUAYO FX GRIS / NARANJA 11  (42.5) TPU;1;71500;TFG  ;1;
7702080549709;GUAYO COMP GOLTY DUAL II TPU NGR/BCO 11 (42.5);1;67300;TFG  ;1;
7702080549778;GUAYO FX GRIS / NARANJA 11 1/2 (43.5) TPU;2;71500;TFG  ;2;
7702080549815;GUAYO LETHAL PRO LIMON / AGUAMARINA 7 1/2;2;71500;TFG  ;1;
7702080549877;GUAYO FX VERDE LIMON / AZUL 7 1/2 (37.5) TPU;1;71500;TFG  ;1;
7702080549914;GUAYO LETHAL PRO LIMON / AGUAMARINA 8;2;71500;TFG  ;2;
7702080549976;GUAYO FX VERDE LIMON / AZUL 8  (38.5) TPU;1;71500;TFG  ;1;
7702080550057;ZAP. LISA TRAIN GOLTY NEON AMAR/AZUL 1;1;78000;TFG  ;1;
7702080550156;ZAP. LISA TRAIN GOLTY NEON AMAR/AZUL 2;1;78000;TFG  ;1;
7702080550255;ZAP. LISA TRAIN GOLTY NEON AMAR/AZUL 2 1/2;1;78000;TFG  ;1;
7702080550354;ZAP. LISA TRAIN GOLTY NEON AMAR/AZUL 3 1/2;1;78000;TFG  ;1;
7702080550576;ZAP. LISA COMP GOLTY DUAL II AZUL/AZUL CEL 11 1/2;1;67300;TFG  ;1;
7702080551351;ZAP. LISA TRAIN GOLTY NEON VER/NAR 13K;1;78000;TFG  ;1;
7702080551450;ZAP. LISA TRAIN GOLTY NEON VER/NAR 1;1;78000;TFG  ;1;
7702080551559;ZAP. LISA TRAIN GOLTY NEON VER/NAR 2;1;78000;TFG  ;1;
7702080551658;ZAP. LISA TRAIN GOLTY NEON VER/NAR 2 1/2;1;78000;TFG  ;1;
7702080551757;ZAP. LISA TRAIN GOLTY NEON VER/NAR 3 1/2;1;78000;TFG  ;1;
7702080554451;ZAP. TORR TRAIN GOLTY NEON NAR/VER 1;2;78000;TFG  ;2;
7702080554550;ZAP. TORR TRAIN GOLTY NEON NAR/VER 2;2;78000;TFG  ;2;
7702080554659;ZAP. TORR TRAIN GOLTY NEON NAR/VER 2 1/2;1;78000;TFG  ;1;
7702080554758;ZAP. TORR TRAIN GOLTY NEON NAR/VER 3 1/2;1;78000;TFG  ;1;
7702080554857;ZAP. TORR TRAIN GOLTY NEON NAR/VER 4 1/2;3;78000;TFG  ;3;
7702080554956;ZAP. TORR TRAIN GOLTY NEON NAR/VER 5;2;78000;TFG  ;2;
7702080555250;ZAP. TORR TRAIN GOLTY NEON VER/MOR 2;1;78000;TFG  ;1;
7702080555939;GUAYO GAMERS AZUL / VERDE / NEGRO 13;3;65600;TFG  ;3;
7702080556035;GUAYO GAMERS AZUL / VERDE / NEGRO 1;5;65600;TFG  ;5;
7702080556059;ZAP. TORR TRAIN GOLTY NEON VER/MOR 2 1/2;1;78000;TFG  ;1;
7702080556158;ZAP. TORR TRAIN GOLTY NEON VER/MOR 3 1/2;1;78000;TFG  ;1;
7702080556257;ZAP. TORR TRAIN GOLTY NEON VER/MOR 4 1/2;3;78000;TFG  ;3;
7702080556356;ZAP. TORR TRAIN GOLTY NEON VER/MOR 5;2;78000;TFG  ;2;
7702080556455;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 13K;1;78000;TFG  ;1;
7702080556653;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 2;2;78000;TFG  ;2;
7702080556752;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 2 1/2;2;78000;TFG  ;2;
7702080556851;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 3 1/2;3;78000;TFG  ;3;
7702080556950;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 4 1/2;1;78000;TFG  ;1;
7702080557056;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 5;3;78000;TFG  ;3;
7702080558350;ZAP. TORR TRAIN GOLTY NEON VER/NAR 4 1/2;2;78000;TFG  ;2;
7702080558558;ZAP. LISA TRAIN GOLTY NEON NAR/VER 13K;1;78000;TFG  ;1;
7702080558657;ZAP. LISA TRAIN GOLTY NEON NAR/VER 1;1;78000;TFG  ;1;
7702080558756;ZAP. LISA TRAIN GOLTY NEON NAR/VER 2;1;78000;TFG  ;1;
7702080558855;ZAP. LISA TRAIN GOLTY NEON NAR/VER 2 1/2;1;78000;TFG  ;1;
7702080559234;GUAYO GAMERS ROJO / AZUL / NEGRO  13;5;65600;TFG  ;5;
7702080559357;ZAP. LISA TRAIN GOLTY NEON VER/MOR 1;1;78000;TFG  ;1;
7702080559456;ZAP. LISA TRAIN GOLTY NEON VER/MOR 2;1;78000;TFG  ;1;
7702080559555;ZAP. LISA TRAIN GOLTY NEON VER/MOR 2 1/2;1;78000;TFG  ;1;
7702080559654;ZAP. LISA TRAIN GOLTY NEON VER/MOR 3 1/2;1;78000;TFG  ;1;
7702080559753;ZAP. LISA TRAIN GOLTY NEON VER/MOR 4 1/2;1;78000;TFG  ;1;
7702080559838;GUAYO GAMERS ROJO / AZUL / NEGRO  5;1;78000;TFG  ;1;
7702080559852;ZAP. LISA TRAIN GOLTY NEON VER/MOR 5;1;78000;TFG  ;1;
7702080559937;ZAP. TURF GAMERS AZUL/NEGRO 13;1;73300;TFG  ;1;
